question,correct_answer,correct_index
"Before a patient with traumatic brain injury, what score on the Glasgow Coma Scale does it show if we observe that it emits inappropriate words, opens its eyes when speaking to it and makes a withdrawal response when applying a painful stimulus ?:",None of the above,1
The burrows in scabies are present in?,None of the above,2
Tache noire de salenoica is a postmoem finding is related to,None of the above,0
Ulnar nerve (ulnar nerve) when damaged thumb what action can not be carried out?,None of the above,2
Exudative retinal detachment (exudative retinal detachment) of the most valuable diagnostic features Why?,None of the above,1
Incontinentia pigmenti involves all exept ?,None of the above,3
Maximum cumulative dose of isotretinoin shouldn't exceed for acne treatment ?,None of the above,3
Which of the following is true about Chi-square test?,None of the above,2
Artery of 4th pharyngeal arch:,None of the above,1
"A 3-month-old boy presents to his pediatrician with persistent diarrhea, oral candidiasis, and signs and symptoms suggestive of respiratory syncytial virus (RSV) pneumonia. His weight is in the 10th percentile. He is being evaluated for an immunodeficiency disease. Laboratory results for the HIV are negative by PCR. Which of the following is the most likely cause of these findings in this patient?",None of the above,0
The lower edge of the gap lungs parietal pleura (pleura) edges as follows:,None of the above,1
The most commonly used laboratory test to distinguish between staphylococci and micrococci is–,None of the above,2
Ideal time to do Glucose challenge test in pregnancy is ?,None of the above,2
Age at which a child should be advised to use toothbrush:,None of the above,0
In gavimetric analysis the phenomenon of occlusion refers to:,None of the above,2
The first confirmed by research vaccination and prevention of human cancer is related that one of the following vaccinations?,None of the above,3
"In order to avoid the occurrence of preterm children glass adenoid disease (hyaline membrane disease) after birth, can give pregnant women in prenatal Which of the following drugs?",None of the above,1
Most common degeneration of fibroids ?,None of the above,1
Oxygen saturation of venous blood is ?,None of the above,2
Which of the following β2 agonists used in the treatment of asthma has an average duration of action (4-8 h) ?:,None of the above,3
Characteristic histopathological feature of basal cell car cinoma is,None of the above,0
Increased LDH helps in diagnosis of?,None of the above,0
"A 52-year-old man presents to the clinic with a headache and dizziness for the past month. The patient reports that about 4 weeks ago he developed a “nagging” headache. He thought he had a cold, so he tried over the counter ibuprofen that provided only mild and temporary relief. Recently, he also started feeling dizzy and nauseous, which only resolves when he steps outside to shovel the snow. The patient’s medical history is significant for hypertension, type II diabetes mellitus, and asthma. His medications include amlodipine, metformin, glimepiride, and a fluticasone/salmeterol inhaler. The patient has been living at his upstate cabin for the past 5 weeks but denies other recent travel. He denies smoking tobacco or illicit drug use. The patient’s temperature is 99°F (37.2°C), blood pressure is 130/78 mmHg, pulse is 72/min, and respirations are 16/min with an oxygen saturation of 98% on room air. The patient is currently asymptomatic while sitting in the office, and physical examination is unremarkable. Labs are drawn, as shown below:

Hemoglobin: 20 g/dL
Hematocrit: 60%
Leukocyte count: 10,050 cells/mm^3 with normal differential
Platelet count: 350,000/mm^3

Which of the following underlies the patient’s most likely diagnosis?",None of the above,3
Which of the following is not a conditioned gingival enlargement:,None of the above,2
"51. One 2 weeks old baby boy, born weighing 3000 gm, Apgar score 8 to 9., physical examination and found no abnormalities. A few days ago, the beginning of shortness of breath and cyanosis phenomenon, rushed to a medical center. Cardiac ultrasound examination found that patients with pulmonary atresia phenomenon, prostaglandin administered by intravenous injection, patients cyanosis improved. So please answer the following three questions: Improved reasons?
",None of the above,1
What is the type of epidemiological study that can produce the strongest evidence when establishing cause-effect relationships ?:,None of the above,3
"A 26-year-old woman, G1P1, 38 weeks of pregnancy, childbirth, baby boy, newborn heart rate 72 beats / min, according to A Page's scoring method (Apgar score), the score at the heart of the breakdown of why?",None of the above,1
Disciform keratitis is seen ?,None of the above,0
Which of the following polycystic kidney disease (renal cystic disease) most commonly hepatic portal area fibrosis?,None of the above,0
Which test is suitable to elicit mouth breathers?,None of the above,0
Early and late suspected instrumental perforation of oesophagus should first be assessed using,None of the above,0
"A 32-year-old man presents to his primary care physician because he has been experiencing fatigue and back pain over the last 2 days. He suffered from malaria after going on vacation 5 years ago and recently started taking a medication to deal with a latent form of this infection. He started developing these symptoms 36 hours after taking the first dose and noticed his urine became progressively darker during that time. On physical exam he is found to have scleral icterus and skin jaundice. Labs are obtained with the following results:

Hematocrit: 32% (Normal: 41%-53%)
Hemoglobin: 10.6 g/dL (Normal: 13.5-17.5 g/dL)
Leukocyte count: 8500/mm3 (Normal: 4500-11,000/mm3)
Platelet count: 273,000/mm3 (Normal: 150,000-400,000/mm3)

Which of the following would most likely be seen on a peripheral blood smear in this patient?",None of the above,1
Insulin inhibits the:,None of the above,1
"Among the different zones seen in the flame of the torch, the zone with the highest temperature is:",None of the above,2
Pheochromocytoma is a tumor that develops in:,None of the above,3
Method of sterilization for fiberoptic laryngoscope:,None of the above,1
A 3 days old baby is admitted with intraventricular hemorrhage. Baby develops abdominal distention. The X-ray abdomen showed pneumatosis poalis. Stage the necrotizing enterocolitis:,None of the above,2
Patient with recurrent aboion diagnosed to have antiphospholipid syndrome. What will be the treatment?,None of the above,1
Most common nerve affected in leprosy,None of the above,0
"Question linked to the image nº24 A 75-year-old man who goes to the emergency room due to abdominal pain and fever of 24 hours of evolution. On physical examination, we found a patient who was feverish, obtunded, hemodynamically unstable, and with a stomach on a table. Abdominal CT is requested, revealing pneumoperitoneum and abundant content in the peritoneal cavity. It is decided to transfer urgently to the operating room. We started resuscitation with fluids and, in view of the need for vasoactive infusion, the resident proceeded to channel the central venous catheter. When observing the color of the blood it shows doubts and requests gasometry realization. Results: pH 7.30; pO2 95 mmHg; pCO2 44 mmHg; HCO3 18 mmol / L; SO2 95%. Point out the FALSE answer:",None of the above,2
First case to come to the attention of investigator?,None of the above,0
"A 34-year-old woman presents to the plastic surgery office 3 months following a rhinoplasty procedure. The patient has been recovering well. However, she has noticed a small whistling noise when she respires through her nose, which you appreciate on physical exam. Which of the following is the most likely cause of this phenomenon?",None of the above,1
"A 62-year-old woman is evaluated because of a 3-day history of headache, nausea, and decreased urination. Laboratory studies show:
Serum
Na+ 136 mEq/L
K+ 3.2 mEq/L
Cl- 115 mEq/L
Mg2+ 1.4 mEq/L
Urine
pH 7.0
Arterial blood gas analysis on room air shows a pH of 7.28 and a HCO3- concentration of 14 mEq/L. Prolonged treatment with which of the following drugs would best explain this patient's findings?""",None of the above,2
Least complication in outlet forceps is:,None of the above,3
"Child is Evasive and dawdling, what could be the child's mother behavior:",None of the above,1
"A 54-year-old man is brought to the emergency department after he was found outside in the middle of a blizzard. On presentation, he is conscious but does not know where he is nor how he got there. His wife is contacted and says that he has been getting increasingly confused over the past 6 weeks. This progressed from misplacing objects to getting lost in places that he knew how to navigate previously. Most worryingly, he has recently started forgetting the names of their children. In addition to these memory changes, she says that he now has rapid jerky movements of his extremities as well as coordination and balance problems. Finally, he has become extremely paranoid about government surveillance and has had hallucinations about secret agents in their house. His previous medical history is significant for a previous car crash in which the patient required internal fixation of a femur fracture and a corneal transplant for corneal degeneration. Otherwise he had no neurologic deficits prior to 6 weeks ago. Physical exam reveals myoclonus and ataxia. Which of the following is true of the most likely cause of this patient's symptoms?",None of the above,0
"Of the following statements about prostate cancer, what's wrong?",None of the above,2
"For their selection, the newly synthesized lysosomal enzymes are marked with:",None of the above,1
Which of the following non-major diseases Staphylococcus bacteria (Staphylococcus species) caused?,None of the above,3
Fox Fordyce disease is a disorder of?,None of the above,3
Discriminate the tone of a sound:,None of the above,0
Mental foramen is located:,None of the above,0
"According to American association of Endodontics, which of following terminology is not mentioned in the glossary of terms:",None of the above,0
A 57-year-old man comes to his office seeking information about the surgical treatment of lower urinary tract symptoms secondary to prostate growth. You have to give him advice about it. Which of the following messages is true?,None of the above,0
"Account of the common bile duct cysts (choledochal cyst), and which of the following error?",None of the above,2
What effect does glucagon promote when interacting with its receptors in liver cells ?:,None of the above,3
Active form of vitamin D in kidney is:,None of the above,2
Ludwig's angina is:,None of the above,0
Structure of chromosomes is studied by?,None of the above,1
Distending capacity of lung is maximum at?,None of the above,0
Which die material gives the most dimensionally acurat die:,None of the above,2
The region of the cerebral cortex that selects the most appropriate strategy to execute a movement based on experience and makes the decision to initiate the movement is:,None of the above,2
The following acidification of the urine will increase the toxicity of the drug's what?,None of the above,1
"A patient of RA is taking methotrexate, steroids and NSAIDs since 4 months but activity of disease progression is same. What should be the next probable step?",None of the above,3
In what processes does lipoprotein lipase work ?:,None of the above,0
The main vessel involved in bleeding from Juvenile nasopharyngeal angiofibroma:,None of the above,2
Lidocaine is used more commonly in dentistry because :,None of the above,2
Which method is used to separate a mixture of lipids -,None of the above,1
It is a venule postcapillary the vessel:,None of the above,1
Which of the following instrument is a derivative of GG drill:,None of the above,0
"Due to loss of alcohol and water from the gel, green shrinkage results. This is seen in:",None of the above,0
"Can cause a strong antibody response in vivo to produce a protein antigen, typically having a characteristic where?",None of the above,2
Most obvious clinical sign in concussion is:,None of the above,0
Which drug is a selective COX 2 inhibitor?,None of the above,0
"The doctor on call asks the blood bank for blood products for a polytraumatized patient of the A + group. If this were not available, which of the following would be the most appropriate alternative treatment?",None of the above,2
HALE is used to measure,None of the above,1
Most common primary site for congenital  tuberculosis is?,None of the above,2
High velocity blows cause the greatest damage to the supporting structures of the dentition but tooth fractures are less frequent. Low velocity impacts result in crown fractures and are usually not associated with damage to the supporting structures.,None of the above,1
Under National Health Mission which committee makes plan for village health?,None of the above,2
"Manuel is a person with advanced COPD, who requires home care. At the last visit he verbally manifested fatigue, weakness and we observed clear signs of dyspnea on exertion. Given the diagnosis of ""Intolerance to Activity"", what NIC intervention would we consider ?:",None of the above,3
The translocation t (15; 17) (q22; q11) is associated with leukemia:,None of the above,2
Aseptate vegetative hyphae are seen in?,None of the above,3
High pull headgear derives support from which region:,None of the above,1
"A 42-year-old woman presents to her obstetrician for a prenatal care appointment at 10 weeks gestation. The patient recently found out she was pregnant after having unprotected intercourse with her husband for the past year. She states that she is feeling well and has experienced some nausea and vomiting. She is currently taking prenatal vitamins and folate supplements. Her temperature is 99.5°F (37.5°C), blood pressure is 127/68 mmHg, pulse is 90/min, respirations are 19/min, and oxygen saturation is 98% on room air. On physical exam, you notice a gravid uterus 10 cm above the pubic symphysis. The patient's external genitalia appear within normal limits. Which of the following is the next best step in management?",None of the above,1
"A 36-year-old woman comes to the physician because of fatigue for 4 months. She is unable to do her chores and complains of excessive sleepiness during the day. She has generalized itching. She has not had abdominal pain, fever, or weight loss. She has had chronic low back pain for 6 years. Her current medications include acetaminophen and vitamin supplements. Examination shows scratch marks over the trunk. The remainder of the examination shows no abnormalities. Laboratory studies show:
Hemoglobin 13.2 g/dL
Leukocyte count 8,300/mm3
Platelet count 280,000/mm3
ESR 32 mm/h
Serum
Glucose 89 mg/dL
Creatinine 0.7 mg/dL
TSH 4.8 μU/ml
Bilirubin
Total 1.4 mg/dL
Direct 0.9 mg/dL
Alkaline phosphatase 480 U/L
Aspartate aminotransferase 62 U/L
Alanine aminotransferase 32 U/L
Total cholesterol 288 mg/dL
HDL-cholesterol 57 mg/dL
LDL-cholesterol 189 mg/dL
Triglycerides 212 mg/dL
γ-Glutamyl transferase 92 U/L (N = 5–50)
Antimitochondrial antibody (AMA) positive
Antinuclear antibody (ANA) positive
Urinalysis shows no abnormalities. Ultrasound of the abdomen shows gallbladder sludge. Which of the following is the most appropriate next step in management?""",None of the above,3
Shadow casting is used in -,None of the above,1
"A non-painful, slowly enlarging benign neoplasm appears as a submucosaL lu nip and exhibits pseudoepitheliomatous hyperplasia in the overlying epithelium, is most probably:",None of the above,2
"A 46-year-old anesthesiologist is found placing several syringes of amobarbital in his backpack prior to leaving the hospital. When confronted, the anesthesiologist admits that he began abusing the medication the previous year, after his divorce was finalized. He has been using it on a daily basis since then, and his most recent usage was 8 hours ago. Which of the following is the most life-threatening complication of amobarbital withdrawal?",None of the above,2
"Before a patient under treatment with levodopa, which of the following recommendations would you do to improve the absorption of the medication ?:",None of the above,3
Enzyme which acts on aspaate,None of the above,1
"The following statements about human avian influenza (avian flu), the what's wrong?",None of the above,1
The Golgi selection of lysosomal enzymes depends on:,None of the above,1
"A 25-year-old woman, no special past history, there is a lump in his right armpit and a weight loss of 5 kg in a month and to the hospital for treatment, the readme no fever, night sweats, cough, shortness of breath or abdominal pain and other symptoms, physical examination in addition to a right armpit 5 × 6 cm, fixed, painless lumps remaining are other than normal, nor palpable breast lumps of. Slice report (incisional biopsy) is a poorly differentiated carcinoma, the next step how to deal with the most appropriate?",None of the above,1
"Statement 1:  It is not advisable to consider permanent crowning until the child is 17 years. 
 Statement 2:   This is because the development of the dentofacial structures would not be complete by  then.",None of the above,0
"A 42-year-old man comes to the physician because of several episodes of rectal bleeding over 2 weeks. He has had pain around the anal area for the past month. Six months ago, he was diagnosed with esophageal candidiasis and was treated with oral fluconazole. He is HIV-positive. He has had 9 male sexual partners over his lifetime and uses condoms inconsistently. The patient's current medications include dolutegravir, tenofovir, and emtricitabine. He is 179 cm (5 ft 10 in) and weighs 66 kg (146 lb); BMI is 20.9 kg/m2. Vital signs are within normal limits. Digital rectal examination and anoscopy show a hard 2-cm mass palpable 0.5 cm above the anal verge that bleeds on contact. There is no inguinal lymphadenopathy. The abdomen is soft and nontender. The CD4+ T-lymphocyte count is 95/mm3(N ≥ 500/mm3). A biopsy confirms the diagnosis. This patient is most likely to benefit from which of the following interventions?",None of the above,0
"A 27-year-old man presents to the emergency department with a chief concern of abdominal pain and diarrhea. The patient states that for the past 4 days he has experienced abdominal pain, diarrhea, weakness and a subjective fever. He also endorses a weight loss of 11 pounds during this time. The patient has a past medical history of celiac disease, constipation, and depression. His current medications include fish oil, a multivitamin, sodium docusate, and fluoxetine. His temperature is 98.5°F (36.9°C), blood pressure is 110/75 mmHg, pulse is 90/min, respirations are 13/min, and oxygen saturation is 98% on room air. Physical exam is notable for a young man in mild distress. Cardiac and pulmonary exams are within normal limits. Abdominal exam is notable for generalized tenderness and increased bowel sounds. Oral exam is notable for multiple shallow painful ulcers. Laboratory values are ordered as seen below:

Hemoglobin: 12 g/dL
Hematocrit: 36%
Leukocyte count: 8,000 cells/mm^3 with normal differential
Platelet count: 227,500/mm^3

Serum:
Na+: 141 mEq/L
Cl-: 101 mEq/L
K+: 4.5 mEq/L
HCO3-: 24 mEq/L
BUN: 17 mg/dL
Glucose: 82 mg/dL
Creatinine: 1.0 mg/dL
Ca2+: 10.1 mg/dL
AST: 12 U/L
ALT: 11 U/L

A stool guaiac test is performed which returns positive. The patient is started on IV fluids and morphine. Which of the following best describes the most likely diagnosis?",None of the above,1
"A 95-year-old woman who is a resident at a long term care facility, got up from her chair, tripped on a rug, and fell on her right knee. She could not get up without assistance and complained of severe pain in her right hip and buttock. The nurse who evaluated her tried to stand her up, but when the patient tried to stand on her right leg, she dropped her left hip and lost her balance. The nurse then recognized that her patient had a foreshortened right leg fixed in the adducted position and a large swelling in her right buttock. At the receiving hospital, the patient was confused and, though she knew her name, she couldn’t remember the date and insists to leave the hospital immediately to see her family. Past medical history includes diabetes, congestive heart failure, and incontinence. She is currently taking metformin, lisinopril, hydrochlorothiazide, metoprolol, and oxybutynin. Physical exam confirmed the nurse’s findings. Radiographs proved the presence of a right posterior hip dislocation without fractures. What medication is most likely associated with this patient’s confusion?",None of the above,1
For determining periodontal disease an epidemiological survey is done by using:,None of the above,2
The most common intracranial tumor in children is –,None of the above,0
"A 41-year-old man presents to his primary care provider with abdominal pain. He says that the pain “comes and goes” throughout the day and usually lasts 20-30 minutes per episode. He can point to the spot 1-2 inches above the umbilicus where he feels the pain. He denies any feeling of regurgitation or nighttime cough but endorses nausea. He reports that he used to eat three large meals per day but has found that eating more frequently improves his pain. He tried a couple pills of ibuprofen with food over the past couple days and thinks it helped. He has gained four pounds since his past appointment three months ago. The patient denies any diarrhea or change in his stools. He has no past medical history. He drinks 5-6 beers on the weekend and has a 20 pack-year smoking history. He denies any family history of cancer. On physical exam, he is tender to palpation above the umbilicus. Bowel sounds are present. A stool guaiac test is positive. The patient undergoes endoscopy with biopsy to diagnose his condition.

Which of the following is most likely to be found on histology?",None of the above,1
Why adenosine has a sho half life?,None of the above,2
"30 year old man, long troubled because of duodenal ulcer, doctors checking arrangements blowing (urea breath test), I ask that this measure is an infection?",None of the above,2
"A 6 weeks old baby presents with cough and cold for the last three days. Respiratory rate is 48/min. Patient is febrile, there are no chest retractions but wheezing is present. Which of the following statement is not true?",None of the above,1
"A 16 years old girl came for evaluation of primary amenorrhea. She was having hirsutism, irregular bleeding and infeility, diagnosed as PCOS. Which of the following drugs should not be given?",None of the above,1
Mean hemoglobin in a 1 year old child is,None of the above,3
"Regarding the processes of Community Participation in Health based on the salutogenic model, the preparation of a map of assets in health implies (indicate the correct answer):",None of the above,0
Which of the following sleep hygiene rules violate help of sleep (sleep hygiene)?,None of the above,0
