question,correct_answer,correct_index
Which of the following type of tongue thrusting has the worst prognosis?,Retained infantile swallow,2
"A 49-year-old woman, gravida 1, para 1, comes to the physician because of shorter and less frequent menstrual periods over the past year. During this time, she has also had frequent mood swings and a 2.5-kg (5-lb) weight loss. She occasionally wakes up at night because she is too warm and sweating profusely. These episodes are followed by chills and anxiety that subside within minutes. She has no history of abnormal Pap smears. She is sexually active with her husband, who had a vasectomy 10 years prior. She is 163 cm (5 ft 3 in) tall and weighs 70 kg (154 lb); BMI is 26 kg/m2. Her temperature is 37°C (98.6°F), pulse is 103/min, respirations are 16/min, and blood pressure is 129/84 mm Hg. Abdominal and genitourinary examination shows no abnormalities. Which of the following is the most appropriate next step in management?",Measure serum TSH concentration,3
"Achalasia and related narrative of Pseudoachalasia, what's wrong?","Most Achalasia in the visual microscope, can be found in the destruction of the esophageal mucosa lesions",2
"10-year-old boy fell from a slide to the left knee, because the knee pain and swelling, parents took him to the emergency room for treatment, and receive X-rays, which X-ray images, show him what happened the growth plate injury?",Salter-Harris type II,1
"A 49-year-old woman comes to the physician for a scheduled colposcopy. Two weeks ago, she had a routine Pap smear that showed atypical squamous cells. Colposcopy shows an area of white discoloration of the cervix with application of acetic acid solution. Biopsy of this area shows carcinoma-in-situ. Activation of which of the following best explains the pathogenesis of this condition?",E2F transcription factors,1
"Congenital adrenal hyperplasia narrative about the 21-hydroxy enzyme deficiency (21-hydroxylase deficiency) due to the (congenital adrenal hyperplasia), and Which statement is correct?",Most children will appear electrolyte imbalance (electrolyte disturbance),1
Perihepatic fibrosis occurring in Fitz Hugh Cuis Syndrome is due to -,Pelvic Inflammatory Disease,0
"About narrative bile pigment (bile pigment), the Which statement is correct?",Is a product of heme breakdown,0
Iron enters enterocyte by :,Divalent cation transpoer,0
Falange is a type of?,Physical torture,0
The hallmark of henoch schonlein purpura is,Palpable purpura,0
"When carrying out air health transport, it is necessary to take into account a series of physical factors that may influence the pathology of the evacuated patient. Noise is one of them, what is the noise level inside a sanitary transport aircraft ?:",80-90 dB.,1
The histological finding that allows a diagnosis of Barret's esophagus in a biopsy is the presence of:,Papillomatous flat epithelium.,0
Which of the following is TRUE about propagated nerve action potential?,Not affected by hypoxia,1
What is the route par excellence in mammals for the formation of NADPH ?:,Pentose phosphate pathway.,0
Which of the following practices can not let severe head trauma patients with brain pressure drop?,Lying,0
"If you notice a small US friends to participate in sports associations and regular exercise, not only refreshing but also to make like-minded friends, and therefore think they also participate in sports associations, it will be healthy and make friends, this is the application that a theory or mode to change behavior?",Social Learning Theory,0
While performing Burch operation there was significant bleeding and pooting of blood in the space of Retzius. The source of bleeding cannot be visualized. What is the next step in the management?,Lift endopelvic fascia by putting fingers in vagina,2
Which of the following may be a feature of acromegaty?,Large tongue,0
Inner cell mass differentiates into ?,Embryo,2
Which one of the following is a muscle splitting incision?,Lanz incision,3
Which of the following markers is not used in quadruple test for antenatal detection of Down syndrome?,Estradiol,2
A 57-year-old man comes to the physician because of a 3-month history of bloating and nausea after eating food. He has also had episodic abdominal pain during this period. He has osteoarthritis of the left knee. There is no family history of serious illness. He has smoked one pack of cigarettes daily for 21 years. He drinks two to three beers daily. Current medications include ibuprofen. He is allergic to amoxicillin and latex. Vital signs are within normal limits. The lungs are clear to auscultation. Cardiac examination shows no abnormalities. The abdomen is soft; there is mild tenderness to palpation over the epigastrium. Rectal examination shows no abnormalities. An esophagogastroduodenoscopy is performed and shows 3 shallow ulcers of the gastric mucosa. Biopsy shows chronic inflammation of the gastric mucosa and Helicobacter pylori. He is prescribed a 2-week course of antibiotics and omeprazole to treat the H. pylori infection. Which of the following recommendations is most appropriate at this time?,Avoid drinking alcohol for the next 2 weeks,0
The porosity formed due to simultaneous nucleation of solid grains and gas bubbles at the first moment that metal freezes at the mold walls is called:,Subsurface porosity.,3
Acid that is increased in acne comedones is?,Palmitic acid,1
occlusal rest seats can be prepared on:,All of the above.,3
"According to the reformulated model of learned helplessness, what are the attributions that a person with depression does for an uncontrollable negative event ?:","Internal, stable and global.",1
False about treatment of cataract in children is,Lensectomy is not one of the methods of extracapsular extraction,2
The waxes are formed by the union of:,"A long chain fatty acid and a long chain alcohol, through an ester type bond.",1
"72 year-old male, began to appear in the first three weeks in the trunk and limbs of extensive blisters, oral and genital ulcers and does not appear, the skin pathology examination showed blisters under the skin, immunofluorescence examination showed a linear basement membrane IgG, and C3 precipitation, then the correct diagnosis should be:",Pemphigoid (bullous pemphigoid),3
All of the following muscles are elevators of the mandible EXCEPT:,Digastric,0
"A 73-year-old male is brought to his family practitioner by his daughter with the complaints of a spinning sensation for the past 4 weeks. He says that the room appears to be continuously spinning. This has progressively worsened over the last 4 weeks to the point that he has become bed bound and cannot walk without support. These spinning sensations are present throughout the day and do not change with position. They are associated with nausea and vomiting. He denies ear pain, ear discharge, ringing in the ear, hearing disturbances, ear fullness, head trauma, fever, or recent flu-like illness. He has a blood pressure of 133/80 mm Hg, heart rate of 80/min, respiratory rate of 12/min, and temperature of 36.7°C (98.2°F). His extraocular eye movements are normal in all directions, but a vertical nystagmus is present that does not disappear despite repetitive testing. Hearing tests are within normal limits. What is the most likely diagnosis?",Cerebellar tumor,2
"A 26-year-old woman developed rapidly progressive septic shock associated with nuchal rigidity, petechiae, and purpura. She tested positive for both Kernig and Brudzinski's signs and shows signs of confusion, dyspnea, and hypotension. The blood culture results confirmed the presence of Neisseria meningitidis, and a complete blood count (CBC) revealed leukocytosis. Which one of the cytokines below takes part in the pathogenesis of septic shock?",Tumor necrosis factor-α,0
In which of the following diseases can hear the whole systolic murmur (holo-systolic murmur)?,Ventricular septal defect (ventricular septal defect),1
What is the magnetic behavior of the dioxygen molecule ?:,It is paramagnetic.,1
"For chronic non-healing wounds of the narrative, which of the following error?","Vitamin B12 deficiency can interfere with monocyte activation and deposition of fibronectin, and viscosity affect the cells and interfere with TGF-β receptors",2
"The following statements about viral hepatitis, whichever is correct?",Hepatitis B has been known as serum hepatitis,2
Pseudopapilitis with silk shot appearance is seen in?,Hypermetropia,0
Rake angle for tungsten carbide burs:,Both BC,3
In which of the following deformities is the distal interphalangeal joint extended ?,Boutonniere deformity,0
To regain arch length in anterior segment by moving incisors labially,Cephalometric analysis have to be made before taking up treatment,0
"An 18-year-old boy who went to the emergency room due to pain and functional impotence in the right knee. After the biopsy study, the diagnosis of osteoblastic osteosarcoma of the distal femur is established. Given the type of tumor and the location, what treatment protocol is usually performed in most cases?",Neoadjuvant chemotherapy - Surgery Adjuvant chemotherapy.,1
"In Ainhum, constriction develops usually at the level of interphalangeal joint of",Little toe,2
Which isoform of LDH is raised in Anemia ?,LDH 2,3
In relation to cartilage:,The cartilage has two types of growth: apposition and interstitial.,3
"Comparison of construction of the wall following the trachea (trachea) and bronchi (bronchus), where entries are correct?",Both elastic fiber (elastic fiber),0
Most abundant RNA:,rRNA,0
"In addition to Barrett's esophagus, the vast majority of esophageal pathology:",Squamous cell carcinoma (Squamous cell carcinoma),0
Point out the true answer:,Microtubules are formed by polymerization.,2
"Simply to chlorination of drinking water, poor response to one of the following pathogens that effect?",Pear-shaped flagellates (Giardia),0
Which of the following is true about Hypophosphatasia:,Decreased serum levels of alkaline phosphatase,1
"A 65-year-old man is brought to the emergency department 30 minutes after the onset of acute chest pain. He has hypertension and asthma. Current medications include atorvastatin, lisinopril, and an albuterol inhaler. He appears pale and diaphoretic. His pulse is 114/min and blood pressure is 130/88 mm Hg. An ECG shows ST-segment depressions in leads II, III, and aVF. Laboratory studies show an increased serum troponin T concentration. The patient is treated for acute coronary syndrome and undergoes percutaneous transluminal coronary angioplasty. At the time of discharge, echocardiography shows a left ventricular ejection fraction of 58%. In addition to aspirin, which of the following drugs should be added to this patient's medication regimen?",Clopidogrel,2
"After planning an implant in lower molar region, patient complains of inability to chew by other teeth on same side. What should be your first step in treating this patient",Check the occlusion in centric,2
When urinary tract obstruction due to edema produce kidney (hydronephrosis) changes in the earliest changes are usually found in which of the following?,renal calices,2
Amines react easily with esters to give:,Amides,2
The sum of the deviations of n measurements with respect to the mean value is always equal to:,"0,0.",0
The vector of Rift Valley fever is a:,Mosquito.,0
LacY in Lac Operon codes for ?,Galactoside Permease,1
"About fainting (syncope) of the narrative, which of the following error?",CT examination is the most important diagnostic tool,1
Purkinje cells:,They inhibit neurons of deep cerebellar nuclei.,1
"In a patient with obstructive jaundice, what is the possible explanation for a bilirubin level of 40 mg/dL?",Renal failure,2
"A 17-year-old boy comes to the physician 1 week after noticing a lesion on his penis. There is no history of itching or pain associated with the lesion. He is sexually active with two female partners and uses condoms inconsistently. Five weeks ago, he returned from a trip to the Caribbean with some of his football teammates. He takes no medications. He has recently started an intense exercise program. His vital signs are within normal limits. Physical examination shows multiple enlarged, nontender lymph nodes in the inguinal area bilaterally. A photograph of the lesion is shown. Which of the following is the most likely pathogen?",Treponema pallidum,2
Greenspan lesion is:,Hairy leukoplakia,1
"If a drug has zero-order elimination kinetics, what formula would have the graph that describes the evolution of elimination (concentrations versus time), on an untransformed scale ?:",Straight line.,1
45 chromosomes are seen in,Turner's syndrome,0
Sequence of complexes in the electron transpo chain is -,"NADH dehydrogenase - Q - Cytochrome bc1 - Cytochrome aa3 - O,",0
The technique of interoceptive exposure is typical of intervention programs for:,Panic disorder,3
The undesirable side effect most commonly associated with the use of finger spring to tip the crown of a tooth is:,Tendency for the root apex to move in the direction opposite from the crown,2
"A previously healthy 67-year-old man comes to the physician for routine health maintenance evaluation. He works at a community center and volunteers at a local homeless shelter. A tuberculin skin test shows an induration of 14 mm. An x-ray of the chest is normal. Treatment with an antimycobacterial drug is initiated. Two months later, he has numbness and burning over both feet and an unsteady gait. Physical examination shows decreased sensation to light touch extending from the soles of the feet to the mid-shin bilaterally. Which of the following is the most likely cause of this patient’s current symptoms?",Accumulation of S-adenosylmethionine,0
Intraocular pressure in pregnancy,Decreases,1
"During cobalt chromium crown reconstruction, temperature of soldering torch suddenly increases. In such case, which of the following property will change?",Yield strength and percent elongation both decreases,3
Posterior scalloping of veebrae is not seen,Aoic aneurysm,2
Which of the following tripeptide ?,Glutathione,0
The reticulocyte count is used to evaluate:,The erythropoietic activity.,2
"A 32-year-old G1P1 patient presents to her obstetrician after having a positive pregnancy test at home. She reports that she and her husband had been trying to have a child for the past three months. She has no history of sexually transmitted disease, intravenous drug use, or blood transfusions, and she has never traveled outside of the United States. She was up-to-date on all immunizations before her pregnancy. Ultrasound is consistent with an 8-week gestational sac. The patient requests as few tests as possible, although she does not want to compromise the health of her fetus. Which of the following screening tests should be performed on all pregnant women?","HIV, syphilis, and hepatitis B",0
"With regard to infection with the hepatitis C virus (HCV), point out the correct answer:",Acute HCV infection occurs with frank jaundice in more than 80% of cases.,3
"A 14-year-old boy is brought to the physician for evaluation of his sense of smell. Two days ago, his mother found that he had left the gas on in the kitchen, and he was unable to smell the odor of the gas. As a child, he was consistently in the 40th percentile for height; now he is in the 15th percentile. He had bilateral orchidopexy for cryptorchidism as an infant. The patient is unable to identify several common odors when presented with them. Physical examination shows sparse axillary and pubic hair and Tanner stage 1 genitals. Which of the following is the most likely underlying cause of the patient's condition?",Impaired migration of GnRH neurons,2
"According to NCEP-ATP III, which among the following have not been included in metabolic syndrome?",High LDL,0
Growing phase of hair is:,Anagen,2
Which of the following is the most conservative neck dissection -,Supraomohyoid neck dissection,0
Amount of proteins in human milk (in gms):September 2007,1.1,0
Which of the following relationships between ion concentrations in normal human plasma is correct ?:,Chloride> Bicarbonate.,3
"Which of the following is a type of peripheral vertigo (peripheral vertigo) occurs, the most likely clinical signs?",tinnitus,3
"A lady complains of headache, nausea and tenderness in temporal region with migraine. On microscopic investigation what will be seen",Giant cell arteritis,1
The arrival of fats and / or solutions with low pH to the duodenum reduces:,Gastric emptying.,1
"When patients with nasopharyngeal carcinoma ninth, tenth, infringement of eleven pairs of cranial nerves, it represented one of the following sites have been violated?",jugular foramen,1
Which of the following enzyme is required to induce the formation of a plasma clot pathogenic staphylococci,Coagulase,2
"Related pox virus (Poxvirus) narrative, which of the following error?",Animal pox virus is not transmitted person,3
The degradation of phytanic acid:,Generates propionyl-CoA.,1
The relationship between a keto form and an enolic form is described as:,Tautomerism,0
What % collagen fibers and fibroblasts are present In gingival connective tissue,60% & 5%,0
RNAi causes the following in a gene:,Knock down,2
"9.6 weeks of big baby, my mother complained of a fever yesterday, poor vitality, just sudden convulsions, for 5 minutes, Zhuyuanyishi think sick infants with suspected meningitis infection, a spinal puncture, spinal fluid presenting leukocytes: 5000 / mm3, protein : 300 mg / dL, glucose: 20 mg / dL. The most likely diagnosis?
",Bacterial meningitis,0
"A 20-year-old woman presents to the emergency department with painful swelling in the middle of her neck for the past 3 days. She is not experiencing pain during swallowing, difficulty in breathing, or changes in her voice. On examination, a red, 5 x 5 cm, exquisitely tender, non-pulsatile, fluctuating mass is present in the midline on the anterior aspect of the neck. The patient is prepared for an incision and drainage of the neck abscess. Which of the following is responsible for the exact mechanism of diapedesis that allows for inflammatory cells to enter the tissue space of this patient?",Transmigration and chemotaxis,2
True about Glomus jugulare all are Except:,Invades epitymapanum,3
ZYNOMER is:,Both of the above,2
Jumping genes are ?,Moderately repetitive sequences,0
Enzyme deficient in Type I Hyperlipidemia is ?,Lipoprotein lipase,1
"A 69-year-old man often feels the mouth and acid substances have heart burning sensation (heartburn), recently Tichongzengjia feel worse after 10 kg. Usually have smoke, endoscopy initial diagnosis of reflux esophagitis. Giving omeprazole, the following recommendations of what and who take care of reflux esophagitis than those without relationship?",Recommend low-sodium diet,2
"An investigator is studying an experimental treatment for HIV infection that inhibits the maturation of new HIV virions. Patients who are taking the drug are observed for several years and side effects are recorded. A correlation is established between the drug and the development of impaired glucose tolerance. In addition, a significant portion of the patients who take the drug for several years shows increased fat accumulation in the neck with loss of subcutaneous fat in the face and extremities. Which of the following processes is most likely targeted by this drug?",Viral polypeptide cleavage,1
Which of the following is not a probable sign of pregnancy,Dalrymple sign,1
"Rectal artery occlusion occurs, Which of the following most affected?",bladder,0
"Where patients following trauma can cause loss of sense of touch right foot, but the pain, temperature sensation, motor function knee reflex was normal?",On the right side of the lumbar spinal dorsal column (posterior funiculus),0
Cysts associated with vital teeth are:,"Dentigerous cyst, Globulomaxillary cyst, lateral periodontal cyst, OKC",0
"A 13-year-old girl presents with a rash on her left hand and forearm. She went hiking with friends the day before yesterday and awoke this morning to find her hand and forearm red and itchy. She denies any swelling of the face or throat, difficulty breathing, dizziness, or palpitations. She has no significant past medical history or known allergies. She is afebrile and her vital signs are within normal limits. On physical examination, there are multiple erythematous papules and fluid-filled vesicles in a linear pattern on her left hand and forearm as shown in the exhibit (see image). Which of the following is the best course of treatment for this patient?",Topical clobetasol,1
Somatic hypermutation is a process that is very important during the immune response because:,It allows the generation of B lymphocytes with a B cell receptor that will have a different affinity for the same antigen.,1
Which of the following is an absorbable suture,Polyglactin,0
Incidence of 2 canals in mandibular incisors is,20 - 41%,2
Which of the following structures is not of ectodermal origin:,Enamel spindles,1
Glucose appears in urine:,When the amount of filtered glucose exceeds its maximum tubular transport.,1
Spinal pathway mainly regulating fine motor activity ?,Rubrospinal tract,1
"In occlusion, the teeth have",Surface-to-surface contact,3
"45, a 25-year-old man was feeling chest pressure treatment. Chest X-ray examination revealed mediastinal mass, serum tumor markers include AFP (alpha fetoprotein), β- HCG and LDH were significantly increased. The most likely diagnosis is:
",Germ cell tumors,0
Which of the following is the most metabolically active pa of long bone?,Physis,3
"When adequate bone  buttressing is present, the AO system of fixation suggests",Load sharing fixation,2
"A 64-year-old man comes to the physician with a 1-week history of sore mouth. He says that swallowing is not painful. He has had asthma for more than 20 years. His only medication is a high-dose combination salmeterol/fluticasone inhaler. His temperature is 37.1°C (98.8°F), pulse is 74/min, respirations are 14/min, and blood pressure is 125/65 mm Hg. A photograph of his oral mucosa is shown. Indirect mirror examination of the posterior oropharynx, larynx, and hypopharynx shows no abnormalities. Which of the following is the most appropriate next step in management?",Nystatin,2
"A 31-year-old stockbroker drives to a high-altitude mountain resort to do some rock-climbing. Later that day, he experiences headache, fatigue, dizziness, and nausea. Which point on the graph above best corresponds to the relationship between plasma bicarbonate, pH, and P co2 in this patient?",B,1
Numbness and tingling sensation felt in the anterior one third of the tongue can be due to:,Over extended lingual borders,0
"A less than 1,000 grams of preterm children at high concentration oxygen therapy, one of the common consequences are:",After the crystalline fibrosis (retrolental fibroplasia),3
"A 22-year-old woman is brought to the emergency department 4 hours after the ingestion of 25 tablets of an unknown drug in an attempt to commit suicide. Her temperature is 36.7°C (98°F), pulse is 41/min, respirations are 14/min, and blood pressure is 88/55 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 93%. She is confused and oriented only to person. The pupils are equal and reactive to light. Examination shows cold, clammy extremities. Scattered expiratory wheezing and rhonchi are heard throughout both lung fields. The abdomen is soft. Fingerstick blood glucose concentration is 65 mg/dL. ECG shows prolonged PR intervals and narrow QRS complexes. Two large bore cannulas are inserted and intravenous normal saline, dextrose, and atropine are administered. Five minutes later, pulse is 51/min and blood pressure is 95/61 mm Hg. In addition to securing the airway, which of the following is the most appropriate next step in management?",Glucagon,0
"In eukaryotes, group II introns are present in genes:",They encode proteins in the mitochondria.,3
"A 79-year-old man presents to the emergency room after a syncopal event. The patient has a history of hyperlipidemia for which he is taking atorvastatin. On physical examination, his vital signs are stable, but on cardiac auscultation, you detect a crescendo-decrescendo systolic murmur loudest on the right upper sternal border radiating to the neck. On physical exam, one would also expect:",Palpation of the carotid pulse would be weak and late relative to the patient’s heart sounds,3
Endocarditis is most commonly seen in:,Aortic stenosis.,0
"A 3 months old child was staed on supplemental foods alongwith breastmilk. The child was fed with fruit pulp and sweetened cereals. Soon the child developed bloating of abdomen, vomiting, lethargy, irritability. On investigation, there was hyperbilirunemia and elevated transaminase levels. The child is suffering from which of the following enzyme deficiencies?",Aldolase B,1
All of the following are the reasons responsible for ketosis in a patient of Von Gierke's disease?,Low fat mobilization,3
Most common site of extramedullary relapse of ALL in 6 year old is,Testes,0
Skeletal muscles,Contraction is initiated by calcium binding to troponin,2
"A 35-year-old engineer is told by his boss that his team will need to work extra evening hours in the coming week in order to meet a project deadline. This frustrates the engineer, who already feels he is working too many hours. Instead of discussing this directly with his boss, the engineer calls in sick and leaves his work for his boss to finish. Which of the following psychological defense mechanisms is this individual demonstrating?",Passive aggression,2
Autoinnoculation is seen with?,Papilloma,1
"A 30-year-old man is brought to the emergency department with complaints of fever (41.5℃ (106.7℉)) and diarrhea for the past 12 hours. There is no history of headaches, vomiting, or loss of consciousness. The past medical history is unobtainable due to a language barrier (the patient recently immigrated from abroad), but his wife says her husband had a motor vehicle accident when he was a teenager that required surgery. He is transferred to the ICU after a few hours in the ED because of dyspnea, cyanosis, and near-collapse. There are no signs of a meningeal infection. The Blood pressure was 70/30 mm Hg at the time of transfer. A chest X-ray at the time of admission showed interstitial infiltrates without homogeneous opacities. The initial laboratory results reveal metabolic acidosis, leukopenia with a count of 2,000/mm³, thrombocytopenia (15,000/mm³), and a coagulation profile suggestive of disseminated coagulation. A peripheral smear was performed and is shown below. Despite ventilatory support, administration of intravenous fluids, antibiotics, and vasopressor agents, the patient died the next day. A gram stain from an autopsy specimen of the lungs revealed gram-positive, lancet-shaped diplococci occurring singly or in chains. Which of the following organisms is most likely?",Streptococcus pneumoniae,2
The disaccharide α-D-glucopyranosyl- (1 → 4) glucopyranose is also called:,Maltose.,1
"A 40-year-old woman comes to the physician for a follow-up examination. She says she has felt fatigued for about 3 months. She does not have enough energy for her job as a physician's assistant and often has to lie down and rest during shifts. She no longer adheres to her usual exercise routine because of exhaustion. During this time, she has noticed that her stools are sometimes pale and foul smelling. She also has generalized itching. The patient does not have abdominal pain, fever, or weight loss. She takes levothyroxine for hypothyroidism. She has smoked one pack of cigarettes weekly for 20 years. Physical examination shows no abnormalities. Laboratory studies show:
Hemoglobin 14.1 g/dL
Leukocyte count 7,200/mm3
Erythrocyte sedimentation rate 26 mm/h
Serum
Thyroid-stimulating hormone 4.2 μU/ml
Bilirubin
Total 1.7 mg/dL
Direct 1.0 mg/dL
Alkaline phosphatase 370 U/L
Aspartate aminotransferase 80 U/L
Alanine aminotransferase 46 U/L
Cholesterol 320 mg/dL
Gamma-glutamyl transferase 98 U/L (N = 5–50)
Magnetic resonance cholangiopancreatography shows no gallstones and no evidence of extrahepatic biliary obstruction. Liver biopsy shows nonsuppurative destructive cholangitis with lymphocytic infiltration of portal areas and periductal granulomas. Which of the following autoantibodies is most likely to be present in this patient?""",Anti-mitochondrial antibodies,1
Which of the following drug is commonly used for community acquired pneumonia in OPD?,Azithromycin,2
Ubiquitin Proteasome pathway is used for degradation of ?,Intracellular sho lived proteins,2
Which of the following component acts as an accelerator in ZOE impression paste?,Zinc Sulphate & Zinc chloride,0
Only antibiotic which is effective  against all the strains of A.A comitans:,Ciprofloxacin,0
"Urea cycle enzyme deficiency is a rare inherited metabolic diseases, which of the following amino acid not involved in the urea cycle?",phenylalanine,0
Prognosis of acute myeloid leukemia with the worst Which of the following chromosomal or genetic abnormalities?,FLT3 internal tandem duplication,0
Renin secretion is decreased by?,Nacl in distal tubules,2
"Lin complained see what the image will shake, the inspection body bilateral symmetry crystal temporal dislocation (supero-temporal subluxation), which would suggest he check for genetic diseases?",Marfan syndrome (Marfan syndrome),2
"A 36-year-old female presents with a 6-month history of stiffness in her joints. She reports bilateral knee pain that is worse in the morning prior to activity and stiffness of the fingers in both hands. Anti-CCP antibody tests are positive. Over several months, the patient's symptoms prove unresponsive to NSAIDs and methotrexate, and the decision is made to begin infliximab. Which of the following drugs has the most similar mechanism to inflixmab?",Trastuzumab,2
"Statements about a skin graft (skin graft), the Which statement is correct?","On the flexor side (flexor side) line of skin graft, full thickness skin grafts as the preferred",2
"The so-called ""correspondence bias"" consists of the tendency to:",Attribute the behaviors to the internal dispositions of the subjects.,2
"Undifferentiated thyroid carcinoma (anaplastic carcinoma), what's wrong?",Can not be changed from well-differentiated thyroid cancer from,0
While preparing a Class II cavity on a maxillary first molar which of the pulp horns are likely to get exposed:,Mesiolingual and mesiobuccal,0
Question linked to the image nº10 Indicate in which type of De Bakey classification the pathology shown in the image could be included:,Type III.,2
"A 52-year-old woman, complained of cough, phlegm, chest X-ray and CT images below, the most likely diagnosis is which of the following?",Cystic bronchiectasis (cystic bronchiectasis),0
"In periodontitis, the microorganisms are localized in:",Connective tissue,1
Glans penis is a continuation of -,Corpus spongiosum,0
Occulomotor nerve passes through,Superior orbital fissure,1
Vasodilatation is caused by:,Histamine,1
Low serum copper due to ATP 7A gene is due to?,Menke disease,2
Inheritance associated with congenital adrenal hyperplasia -,AR,0
Transformation into osteosarcoma is seen with,Pagets disease and polyostotic fibrous dysplasia,0
Cervical syringomyelia (cervical syringomyelia) the most typical clinical symptoms are:,Section separation paresthesia syndrome (segmental sensory dissociation),0
Velocity of human sperm -,1-3 mm/min,0
Which of these indicators is used at anganwadi centers for growth monitoring in children?,Weight for age,1
"A 39 year old female patient was sent to the emergency room accident injury, limb X-rays in the drawings, the diagnosis should be:",Monteggia fracture,1
The probability of a test detecting a truly positive person from the population of diseased is the,Sensitivity of the test,2
"38 yr old patient with high risk of coronary aery disease risk has hypeention, which of the following antihypeensive drugs will be suitable as a first line treatment for this patient?",ACE inhibitors,0
